Ticker,Debt_to_Equity,Risk,Return,Revenue
A,56.421,0.3161083569070743,0.09384307055878012,6787999744.0
AAL,,0.5611799308985503,0.1807476359951539,54293999616.0
AAP,258.405,0.8004298124125395,0.5409520813247307,8624326656.0
AAPL,152.411,0.3264089300608999,0.2518899214806297,416161005568.0
ABBV,,0.2864916785095439,0.1331459551263858,59643998208.0
ABC,,,,
ABNB,29.324,0.3904007152226966,-0.0021669230673743087,11580000256.0
ABT,25.31,0.2135640480864617,0.09391115891682507,43842998272.0
ACGL,11.501,0.2555149456179408,-0.016996102853411098,19542999040.0
ACN,25.38,0.2830696547991601,-0.27422229385351743,69672976384.0
ADBE,56.542,0.34002762519507046,-0.29935492521976403,23181000704.0
ADI,25.541,0.39045736544634146,0.13373011914412988,10386794496.0
ADM,46.798,0.281811278027263,0.1636762364640505,82775998464.0
ADP,154.917,0.20267736282505788,-0.07952476963723754,20903399424.0
ADSK,100.7,0.2956245932126743,0.09842322833538122,6605000192.0
AEE,160.58,0.17916948146388506,0.2135013892135992,8119000064.0
AEP,152.132,0.20024839995885887,0.2568171311186801,21257000960.0
AES,313.243,0.5082764754507948,0.07340335887590126,12032000000.0
AFL,55.055,0.21504396264396888,0.06821293173061554,15909999616.0
AIG,22.293,0.2315506853405182,0.08295732432189946,27395999744.0
AIZ,37.909,0.2769017907156333,0.15820815764318694,12304900096.0
AJG,58.895,0.24652035988037277,-0.1105448813238267,12078600192.0
AKAM,117.988,0.41502769072016926,-0.20640941495891407,4083250944.0
ALB,35.682,0.6103066435214322,0.1665089270766314,4993277952.0
ALGN,2.205,0.535303428112264,-0.25912543364412544,3982621952.0
ALLE,116.084,0.25143460236860077,0.21064046739489328,3979699968.0
AMAT,34.67,0.4526767073622027,0.384847655735869,28612999168.0
AMCR,130.417,0.25083991152361423,-0.19217187350928733,15009000448.0
AMD,6.513,0.5813538211466384,0.7823442203791928,29600000000.0
AMGN,756.651,0.27415067805412596,0.002990455076919607,34916999168.0
AMP,54.222,0.30097247780427966,-0.0600871333533899,18513000448.0
AMT,418.09,0.26324242124136515,-0.11626690071367954,10454700032.0
AMZN,43.405,0.3500047801670043,0.3244986062363493,691330023424.0
ANET,,0.5678485048085343,0.6389416362936062,7950945792.0
ANSS,,,,
AON,214.88,0.21940475005146456,-0.043677374569567884,17027999744.0
AOS,12.063,0.24363443166654786,-0.08613329594424624,3830099968.0
APA,67.565,0.5391052781726653,0.15330607564676607,9804000256.0
APD,103.39,0.2416816132821578,-0.19410468365136294,12057900032.0
APH,63.99,0.35269951451057685,0.8102580379711989,20973500416.0
APP,300.821,0.9416795305648794,1.8225771917789018,5737590784.0
APTV,85.425,0.3475863015214195,0.4449774646727451,20152000512.0
ARE,66.083,0.37052807361244455,-0.581129429569077,3058394880.0
ARM,5.651,0.6227336576637253,0.3969153080672719,4120999936.0
ASML,14.24,0.3878549396431198,0.5535755339501902,32212000768.0
ATVI,,,,
AVB,71.748,0.22789871424101232,-0.1623162309794764,3065662976.0
AVGO,166.032,0.5799494750749826,0.9500498946922393,59925999616.0
AVY,171.013,0.24405819860609765,-0.11747258093458239,8769999872.0
AWK,140.983,0.24299056105602843,-0.018984862773659492,5070000128.0
AXON,75.079,0.593632517138465,0.6939712802876531,2391589888.0
AXTA,146.323,0.3118666209488892,-0.2591739152538912,5166000128.0
AZO,,0.22116031461722524,0.18680034020888714,18938716160.0
BA,,0.3719647138539489,0.34925900482920247,80756998144.0
BAC,,0.28043116697325393,0.32581061652427523,101445001216.0
BALL,139.757,0.2550497283475254,-0.18806244413008824,12396999680.0
BAX,133.347,0.4279453168549913,-0.5633426532377723,11022999552.0
BBWI,,0.5259018905180383,-0.09558576945783435,7370999808.0
BBY,150.074,0.4338190923971851,0.015643654866492333,41598001152.0
BDX,75.93,0.3033870073357498,-0.21280412504812476,21386000384.0
BEN,26.57,0.31616326496603026,0.23631392808521126,8638199808.0
BF-B,67.728,0.39253621391788907,-0.36316344642153586,3948000000.0
BIO,20.712,0.443689318278964,-0.07466719975510859,2557499904.0
BK,,0.23799790077097457,0.4203841513192663,19733999616.0
BKNG,,0.2765672562588635,0.09767819544428971,26038999040.0
BKR,33.042,0.36716398195667094,0.3296121087453267,27711000576.0
BLK,28.507,0.2726934061726265,0.1338930372655226,22884999168.0
BLL,,,,
BMY,274.414,0.29764369696473764,-0.09542841431975792,48034000896.0
BR,130.278,0.22117943621423847,0.09408554679143345,6889099776.0
BRK-B,18.166,0.19166631260112038,0.09207879848772234,372127989760.0
BRO,64.746,0.2504424738743602,-0.2693335076652993,5350000128.0
BSX,50.973,0.23449079869193185,0.18114679216595447,19349000192.0
BWA,66.016,0.30272270328216266,0.3338132995118451,14183000064.0
BX,60.337,0.3871277283871536,-0.04178983608286939,12791218176.0
C,,0.3220665308950988,0.5748027276875849,75383996416.0
CAG,92.867,0.25059824572389505,-0.4160040413587899,11450500096.0
CAH,,0.27484883502165514,0.588869095055162,234309992448.0
CAR,,0.6306342962851126,0.5809478436546733,11697999872.0
CAT,201.046,0.32195498289355184,0.4874014755061914,64670998528.0
CB,30.958,0.2003478016615802,0.03804649903065394,58842001408.0
CBOE,32.645,0.228788009249249,0.20099729362088697,4617800192.0
